group,ciphertext_hex,t_median_us,t_mean_us,t_stdev_us
0,0xea0aae7152ff98570558d23e30a4dbb9908455d639946e426a7159e8bb9a2da0fdd0aa1972edbec3d0721ea620bb39a78b23a44bc404cac77d8b9794a0718b5210a932e7c0d7c4eb56a49d6931db15137c99b492a8342fd6af432f28daa1c6e0bae21b3d1bc64248ebe04a3d214a10c6b820be50ecdbb15ac1cd5faa70c6b3f,16232.130000000001,16386.4674,518.5234816584878
1,0x196884e01e78e88f56e03649c91c1d7c670630bae76fd61f080124b5d8127d68c236695d6df4e334e1eef870a4670451059a84712e011161f7bacd2b91898c9a32ba429d926a73704992bd3f9501f1e80dfed645b3e1052b970bdc1b6261e0b23fdea720b221dde8faad37d295e10d58c497cc85678b98a67b0e0514e56f00a1,16379.96,16553.5136,693.456003018966
2,0xa1107b43dba2e94328b7e0257f481afd9f3a4aca576baf586b7e79452ee4e857865612e91a5e2e151339cfe41f9126c2c9fbb26ee81a8cb235d26f16a4c145624d1adb5b8ceab4d69ea51c39e923d01505cbb8a05cc1ad6cb4a9c99a6239a89a77cd3a7751e2e9a34e1f576440aa5a2c5bebb22a6891fbecc85baeba89a557a9,16520.36,16655.6588,510.42483342266974
3,0x1f8c163ed349fdf40c4748daffc2319eaed04d9440ccac12911f123a9a1d9532259a9298d4dc40cf46f3726038b2a6642db441aa1d2aaf7140cd5113d161fc7a2ef16c5ac5255905e962b1a64fbfd070ba940c8c4c65df3fcbc0c22f4ac15af585fb39a506137785fd4496406114a608020cb1e7424b7ff1a6ff1ea8bd18da8c,16658.705,16874.5096,762.1634343970064
4,0x80a8b513c38cf46bbff217d5b9722f20703e72f2b9dc65203a956e1acc05a84477ae8066057c1caf3ee47f3c74a507c55a5531eed546651adc16b1102bc9de8d6558222e66a1c94d57e41b3e3dc9b960013869521eddcaf340081fe3139a8059b827754cdbcde29e93eef2d339d0db14978d6ebe7bba2014db43ea6795a345e1,16745.71,16809.6942,564.3963418559338
5,0x3c687fcdd5eb8bc2916415c28729ae0af9a55dc4379a60b2ab09f39194004075eb949eeeed591e465bb4de7c391638fbcdfd4875a65b06aed9e3c20655eb39a47a63051846ec0bce0176fafaf295dd1a34081a76a69e74a8df012bd0a111a74b97cd9b7b3107788cd99b069d17b70bb36eff0563807110758ae6c33c468925f4,16724.379999999997,16844.103,780.579362922823
6,0xb19a51e5bce5677b676c67fc85fe1e757a9a4558100176498a5439cbe537a90b82288f5e8d55288b4a638b84838da65ade09f0d8a8a80f21bc2996ab44df507b4a84302fa651b56fc5feacd07976d5a210be7b8f6f6dbf748f0482965738e1b529e7498688aa655a9bb0e25ec0252adc9347500c241be946484552c0479891b8,16658.905,16727.9622,462.2421419052572
7,0x71cbe46e1eca60e1d09fe2c4411ec91b9018e04400056e3a143629920520e93605044b5e8dd3ab0045656f0d690fb43855025695350cbf624c635fb2e5f17ecd2a6795db06b83784dd0f2f637a77986f1a333e797596c098bcc91dcfedde0ec46673e54edd81f2db218233019e7ee90400e0d6a4f018cece950781ea14e399e2,16727.055,16792.6102,563.8602040949156
8,0xb2639fae9369570e7155ae2d37c38f68f98e05b8417f9ec0023d6d64168a3227f9d366dd908743f0a514ae4df9eea2640e81b0ec2db3e75cdb36ed9836c19db15b026b82d7488e5bfccd1b90be86cd567c7c36fbd4f79f1c7f4a9053b8811827e91b736554b67bc3e0f5b74a40ab2e20c5155d5f4caac0140c4fd42d7ccdefee,16529.045,16692.6574,569.7728198881024
9,0x43687c5127db90b7989a9a585cc0d055c10e28a388e37bd82b83737e5b6bb1c9b515f92bf8fd10357e407aaeb127ebef243d6bcd51580e307b280684f31cd9ec0ea852e526b859f34b0f0f363265bfe115af76da660a2a29b0978980279f9a8284ee5baa382746d64a92d5372b09d04a0d9640a3251d2d31093cb0f475bcc6d8,16715.41,16712.088,411.45092116071396
