i,ciphertext_hex,elapsed_us
0,0x29b58f2685f772127c39ec01cf72a3d5f7749649f03ff864d367c3f68f08af47ffdb450ba6afe4b1b0c199522e23f705e7fef130dd252d68eebf872c283e971d4cb717eed55335823b3e7283f813cc613ff6a286c26d0dc7aa7f7bc04e3c8d9de4e56f9cf51efc0aad58c781f9e6a146b58f04713f2eaf50177a07e52130e5ef,18910.85
1,0xcf2848869bfbf14baf72936581d1407d755f9f81e65371a5bf74757403e09d8d6f73b2fb8a21d3c1725a4f3afd1ae987adb61c252c5031126228bc61ef5e672ac981811534710b5c0126bbc8906dad61989cc9c5fb1015466b1bec3d0a8af697de024d8ac1aed3d997c7f831b22cdc9ffcdd8cce32582d077b9700c125eee5bd,24719.18
2,0xc3018355067ba317eb22ebb3270e9a9e870a4d4a22ad4d0eccb09516c6e672769b4d221049f6166fa6ef4b5b437b15f8ffc72048b36356960ad372902573325063f0db530f399ed4af3951e69bcaa415c5a3bcc916fd0526377003c5567add2574f5d56cd18a1bc0c46366eabb516c90630b8ca407fa906fa136d6a289fe43fe,19162.31
3,0xb7976f481431ce0d6c4f9911a91dbcc4d2cd4378958a40d72f9f9c6ef786c3c2b810778a801ceccf4d84d2d4154b63b9f1b4c7544ceedaa40f386b75c0a7c5c6434d19bf9af5807487ec97d1a872f10a8c6bcf12b1aba9cf618a366aa7ef34438fb92b1a97a3ee0b4d875d93c508d363b6709f900c3c33e2c19c4cf5ba88cce9,23632.01
4,0xb5c029ebbe2a978d22cc0b61cb0ee5d61efad680ad8a2e5caaa4cdab0fb30304781407f33d6b9659037e68596d72895d18750ceb77888f08fc8b1dc12903addb2e6bf0743a6cb44b02f2764fb3ec1ce1da5aea21dbbc62f4a1f84ef0c06625392af1c24fafefd3bab6170ca0c940f9eefc41e6a53fc8c58b6042c87872b585f3,19385.78
5,0x4a8d1effe46176f83397c00749c8a8ad30905ece7da854335bfc9e7b7535273d5234d65872dab2803ff8cbc496704c81086716362faf59654756c9e8ac410d763182b2c6b8ca6bde18509349fd14d6b334de962729bca4019d089d006ba8aeeecacd7489f168c2e5e61c93489ab1bc633f4d2bf2d95eb03ca4bbcf634f9a4eeb,16712.92
6,0x9e3468287775c0b7722321d46282a2225e61de06669d335816a2615b964fa1eba28f13fde53decadf81450ca5120f236110f3021a74d783b3c449847487ad7a249250a2de66c0da57af2a42f7c030b5413c9541305184f00c69abd57c8211e9c5c7e760084844912d1e3e8a83cd153b7ffe7095a9a549280997e463910348e5a,16421.96
7,0x86aa0475aa1d05ac23522081b4f6fc1450feecfab8bef316b813c766ad7a7a4b352f606f2ad7bafe645bfa10872716eca70b554dd16a96131911fc2fe2a5fcebf69f09830cd760721a0e666cac3086db99052ca2640f2851efcb1a79d40d979bb3f0aabd6c72fe0fa83fe33a49130fb60ea2ea0abfed0456120375124eb0f797,17390.53
8,0xba021e6e561f00e551edcff85775e169cfb603fb8e84da0aecca38e39df1d89a3e7dbe970f55ef68ce916802603193f0513e43f2ab6104d44142cd7746bdb6e448fb79199f3b509a5482de8d9a90ee90ad30b0d12847fc6f8d38dd45e391c861f26da85c453675a6f009a644a3854b9a9b0f7333368ae7bafc2c645b3e1eab1d,16328.33
9,0x9cb83f5e6bba02fd5862cc04dfbed6b48d587237eca819e93f9463d7f3459980348b8bde2d67129b216bf90c9b3f1225230a640cfbd25cf624e7d0abf525852dfcdf8a75b498e318d5ff15d21c4474e5d91784a553dfdf3d37dd48eca37f6553162857bcfae0460bac7f7165d7a4d4927fae5c7f0f033b1b630337a3c65e78f5,16228.68
10,0x92a4f8dec7ba2478636a9d236bb6f1ced8b20eaec5945ab1e7763fa36f8bd781da4e488c33fbece8fd8a587f25eb50c0b07d9ccfee28317a912a9a6ae8ee0a8eb9ea4497b20dda6c453333266ad0fe857cbd91f5c36820faed641366422a38d2c3b812732a6ac89827723a4e6ffe32a1df9932b43eb894768d03f88b742ef27a,15894.51
11,0x1524a9b46e39dc491e591de3ec612058ea18fb711c72a00d60d302269542be53556017d9667a55a1465edcf6dd82f9ea7a0e329e1c8a5b3c21bf0457dd989526565a4c913a311d4c39dab06a409017d621745e37a2bad4f9413c2b7612761cc8227f3c6d77b5ec93a0d40d0cddeb0ebac2c7b673a9c996e3093e4d20fb8ec644,16130.42
12,0x71170f245341d1dd01c7a715ca0a31fa71e2220f6c3595e691e0556ddb24f9074fa3481e661c2c4be07057a2c619f804b93d28c9704b4bac060b3f6544ee5215f530a7f4f06aeffb17a3a855e031dbeb6b9e99afa88db44c3290f906878b3cbb5a8261eeaed2210da29f173d1b02c372b3e91fac0855a301c9c5eff6467093ae,15917.6
13,0x4091fdc74af4dc7a26a23b64fab36d02fc086e4f5f86de17584878aa65fb62522b716d5b2aaf5fa50f33dea8d6c587aaf6cc1b9a0e9aeebfa08a01a8fed91856ed1227729b1db95898a8264d402a5c1a73c3a93fcad2a7802b663f4a72311753d2f97e1fef455707ceff0494e6d20a2c3da86e094dfec3c87fc4906adaad9848,15860.48
14,0xaa4b62ced35e21e50eef9227ac4ad030878ddbe614206bfe72d2fe606b8d0336165eee38b034f419ce349e2ccd44eb96a622fefec9f912d7b95f900089321d068b2545f8ff2a9d0fcc4e4f113e80aa02ac6e05a5e2ff9a142d838c9e824a79f442db0ea738261157c6e8103bff178ea437b47a64bca5e6ed4523134274b74b70,16388.62
15,0xab5f950757f91a60bc6db6c6a2977e8b0c543a044357084339877dd9c5b1a9370f9f2fd93f19ab02fae57886a229066408b7ff6f8fed7a75fbc1ec41b1d4c22faace2e1b7a2ad03f30e3cf5285ff8837197f16213890b6bbdd1c7ca0caf970d53305e864a028787226b97a21ba59da4969f917aac92bbd2cc94ae769d954f7ad,16066.58
16,0x1a28dfdb55f9c9e3535817cb521d5cfffa6b0ee7516a6d8fe2285e1b9270b783cbe58d616e5bfbe9fd454be8b37e5e8e57cd734fdb6f3c51056cae895cbccf25247ebc583c4befab414c6ff983280d62176c3f9db5283a447e8f59248d77944eb6b4872d529e6665ac12e47a0c74e92190edad3ecc926388018768f7afa52ce8,16155.87
17,0x2007cc01d1ab673c3c2e1df1d240d4ed077d8fe745faeccbb04bab83fdac2f65026550d3e3da63b0a63bb13f664c7600ac037e565ac44af67962591565b38aad058ded48a4f786ef7c5187d673bfd3ac755ba25ca72600a8abdeeb4e143c1235fbcbaa22ff72958d9d62a63fe529b11f396b6d938a8ed6f73a12597cad7577b5,16205.5
18,0xa41a194049805da41492cda6d1668d85ac747ceea3af7c6ce6e6793410218c0b656e52ca7679f3d401c79fdf09fd773102cd3e9755cddf3efbf56cdd9474dbfb1edb777869a3fe0c82bf6eb74b72aa70b78a58fff1b8aea330b20929a3cd853e751a4abf1cb39444106bd24a9f52ad2be1659026bd08f61840b172bb4f5b026d,16878.38
19,0x2cc853279b280179e7c5416a95d3417c1a4b374c1ad11b1f1c60549e0ee46c55c592de36bac140bc57655d08977200720909b11135a3e7166b15b93622e66e728f7a1357b5e39f4c14dda3d1dd69719081e790b8cffc3baacc41c7dc6ddc656bde0a238d8bed129a750d074703fc8b859b546ecc9cdc0948d596570551c542e8,16395.13
20,0xcddaf25557357de226e0ad0f5095956dfc946eba336d437efe1440c5f17068a40d05ba76c49134df2627492ef1c4c25b9bac15a767f1bcce517756dd77ed7bec2b15ef6ac405896907a23cb7c2446fbe4b3f9b259084fee804502ef6c1f6c8761d70a452939a6475462fc8894a9dea063c96b027a9b773ed80f614007d92632e,16898.5
21,0x89174c289a12b0de4a574f16d1d7402ce2f3bf52b9536a7aadeddf241a694873459cea7e11b844d4baf770e4661adb251f246f7ffb4fb0bf42c3046aca487d8b3d1ab5ab81f1df785e1eb124001c176ff851c744d261e93bf2ff87ed1c8d5eb185c94dc7d406404d3957d516e335972a73e0ea1a918df6010dfaa85c56c005de,17037.91
22,0x85ad66cde8654a1f0086bb2292971bbd60fc140aa6aef34a8d1b20d3fb11c50cc859f30d153736bec16b2209ce849352d1a642e22cfaf8a1a85cb5e4b6bdaeff01055d8341b26c4dc6ad2c1ce986a2176bdce54b5903787c544c363d3960712d8a7f9cd2f6eac095aa1020b3e390eba6340d8e8b7cf4d0cc655df7f01397c96e,16550.52
23,0xba623c4473bb01c42258354039b5a04b266ccff7ae12333632119beb40a98dd7aac16526edcb1d4442195a885fd2d9637ecc7e0b6d16eb3fd22247cce32ba908f354788326ed0d6ab5e6b22d08dfdd693ea765521c23c7de25c4fed652cfbb6d8e3da0af757463f2e9c7891db9f48a6bd098067715675eb9bc7723748a88eadf,16934.22
24,0x6ed7d4451b55583c9aa79c8410abbd78f6c909e23d66990f1e38da329b39e6a5362481c5082532c771aefc93f40566cb8f6dc509006f736494cf65127828fcf3f67f2734c532037ec9ec5fe3481be3201d16aa5c4dfe29a471428de40107af69ab6aedeff9febcdbfa9b0f19e6f23e619bce10d581e68eb72eae399960c4cf40,15776.51
25,0x6f770543ef50926a76119e0c87a369fc41057fdaa8a2c497d0b5570924075d0420d4e4490ab664bd3470f200db12c127d2565e38215f708c372b5c0e9b762f4bbded374609b66d486144742a3fd99330b0c0e9554c9cdb871ff2efd9210f05b83064906eb531b54c9bf98525d8012bdded9c6e486c384dd6c43be8cc6b4f004d,16900.57
26,0x8e550d89f85d38e5210a498dbde985e6085d36b2c8546f0da8e2061138e8e0d28a8076e747bb7ebffda0962ee579b80e901c8e5735444fa749d9b4d8cb13a7f88c2f134078226bb8bdff0fe3a0c7b4f388708d24f6a67956ebd90b36c80ec7d74d6a3ec8e41b5a289a0221d759490c50303d2d24c5e7b9b6cb987a3dd8c9fd82,16323.1
27,0x2aa688ef0c726e75da9408bd04d24c76695849add33ee4704e02d6840afcd7f463df42e88f3e3f633b3df44c42ed7405a5677119902360a840222cead41487b1a4052926cede527cc44eed0cb8e06825705abec39126a73f8667eb7e4fb79053a454025fe00a6fc3f3912d83104f210d3d948529bd8f7240bc1f479ba3992a32,16064.41
28,0x66e95c6c2dbd1bd1aa446d65088b79f78bb548514a7603650498f5c344d9d078a23ae37f868aed0a764cbb4b4f8d93f2b9fec271675fc0b9ef588fd5a942b6090e15c7a451235a0a94a266386c19b35a5c46e573df84437326b37dff4d32fdea792dac3a58aef40128c7ef7e4abf91d00ece4f8d30dd3c1b25a5bf30eef7d346,16587.42
29,0xc86f112534c833f39472f36830c5ef0c44b63e5e517b7784cf0d0fd1242d82c51af32845c301a8130b2cfed2e70cfc2bdc8ca063839541ca376baa0a6eb5f7b097179a4b209bde47b4df614f4f3d7f542320b2fe96f06e263afa9561f606c22bbe9cdceccc902248e0687dd3ee1b6b4f97d20f36d9141fcdc8503df2ccef7aaa,21028.51
30,0x183f2db694da60f92cb75ac1ddab3832d552e5f5ca319e06742ef7dd0c125562732e72dd44cd808c6c5f57f00d0eaa80eb9009941ab938307a5f3ac820056227ab3eab76297a7e156e604068ba106b6fd8d00ede6f815bd5fe46ad6a701dfbb629771b635f607ee05e8afd3963bc0af4d3b653d6073bf805881e31b3aa60af19,16176.1
31,0x13a9cadab53f5bbd285d09581d3f5fb4ff39163ae6d89ed82af9505fe4b8546150f4458db184cd8b101a8d9605e7c31734afad9a91c7bbe176065c9d4798aac576fef36585def0ee87b252155ee8bfd4899c75248dc9a361fbd02158d2f2337e37efef14c2a25f55f2ed825f32afcaaf1da6622ce7415c266752a864277aba09,16622.64
32,0xa7fe1e0ea36612d5a9d341b198e704c0744aa5f60f6eb25efae69c066b04c84740ef3d200ce18be04331ede16a5306eb58e91f849c4ca5cf7d96dae471e4f96d631f2adee18e64480a81b9da4852437ca43954cea1bafc06b49d7de98732e464086006f2bc3f44f22638e93ae5160b4781730bda661bc6c364081427b04d7723,17221.03
33,0xa434f7f5b3d4f6e9315637d82454ba5459416304bd00ffd82ee34f327d625350f408de1af25e136b33dad9e2bc34398e5372fed7bf5f134650b398832a63620c847f77d531e94cafc3264f94fa1314d727b2c72cb0cccc657b607a8331af4fcdeed8172f4861f5b865b1386c44136cc9acc95aed53e7deabcb34e78335dc3718,18583.95
34,0x81271359814dbf0a9691ba4c47530f823e17e8853f944d194a36c4c9fe0485333b672a17e1c803606360ec031f9231ea45564ea3135cfb50adba580e5970580ba1ddf7ca0e82f861926706e9a9301adeba893ca36afc0abe48885b8b35921c6443dd774988c70f870d93d4ed7e02dac734c7dba6f1c328241320688e98e16c7b,18480.75
35,0xbd11725b03cce31afb849678432f7edd1f92c5563172b55427f6c6f3e0538fe9afdd9594ccf7afd5573d4033379f245d02dc12ba3244242c335191a098c672b8c353454d2d5d45e9a191fd55c5b6b102c8d6abb65f9a4de571e5a4d32057bad178038d9428676a04d9beb6a0baad428861a8bac6271298614153339d9731250,17896.87
36,0x6b1883552a8961141786b8161720847136e4c8c12f6bd9b9fd020692779aeb391888266de2d6ce8b17881ff5932579de31ce470c610853b39b0b9e49f48e518d2cdcb5b1f324d8201c79183210d22e4289f3a28087afddba3262a3b5e2db9a6e2d7282f83c169e5ed2407b5d799abdfaca28cc5210005f1ec471322b50bc4f64,16198.1
